column_id	line_number	text
right	2	отку́да ду́ет?; 2) <i>Сх</i> из любо́го
right	3	ме́ста. <i>Ср.</i> <b>авгӯгит</b>.
right	4	<b>авгит-вал</b> <i>П-Т, Н, И, З, Учр,</i>
right	5	<i>Сх</i> отку́да-нибудь.
right	6	<b>авгит-та̄</b> <i>П-Т, Н, И, З, Учр,</i>
right	7	<i>Сх</i> ниотку́да.
right	8	<b>авгӯ</b> 1. 1) <i>П-Т, Н, С-Б, Брг,</i>
right	9	<i>З, Учр, Урм, Чмк, Сх</i> кото́рый
right	10	(<i>по счёту</i>); 2) <i>С-Б</i> како́й; 2. <i>Сх</i>
right	11	любо́е ме́сто, кро́ме того́, где на-
right	12	хо́дишься (<i>сидишь, стоишь</i>). <i>Ср.</i>
right	13	<b>абгӯ, ававӯ, авагӯ, аввӯ, авга-</b>
right	14	<b>гӯ, авгавӯ, ады̄гӣ</b>.
right	15	[<i>Сол</i> <b>агу</b> кто, вся́кий; <i>Эвен</i>
right	16	<b>авгуг</b> кото́рый, что́ за; <i>Орок</i>
right	17	<b>хайду,</b> <i>Ульч, Нан</i> <b>хавуй</b> кото́-
right	18	рый].
right	19	<b>авгӯ-вал</b> <i>П-Т, Н</i> како́й-то, ка-
right	20	ко́й-нибудь. <i>Ср.</i> <b>абгӯ-вал.</b>
right	21	<b>авгӯгит</b> <i>П-Т, Н</i> отку́да. <i>Ср.</i>
right	22	<b>авгит</b>.
right	23	<b>авгӯдӯ</b> <i>П-Т, Н, С-Б, Брг, З,</i>
right	24	<i>Учр, Урм, Сх</i> где?, в како́м ме́с-
right	25	те?
right	26	<b>авгун-мӣ</b> <i>Олкм, Тнг, З, Хнг,</i>
right	27	<i>Учр</i> завя́нуть, пожелте́ть (<i>о листь-</i>
right	28	<i>ях, траве</i>). <i>Ср.</i> <b>абгӯ-мӣ, авга-</b>
right	29	<b>нӣ-мӣ.</b>
right	30	<b>авгунча̄</b> <i>Тнг, З, Хнг, Учр, Урм,</i>
right	31	<i>Сх</i> 1. пожелте́вшая трава́; 2.
right	32	увя́дший, пожелте́вший (<i>о траве,</i>
right	33	<i>листве</i>). <i>Ср.</i> <b>авганича̄.</b>
right	34	<b>август</b> а́вгуст.
right	35	<b>авдан</b> <i>С</i>, <b>авданда</b> <i>С-Б, Бнт</i>
right	36	<i>Учр, Чмк</i> лист; <i>см.</i> <b>авданна.</b>
right	37	<b>авданна</b> <i>П-Т, Н, Е, И, Брг,</i>
right	38	<i>З, Алд, Урм, Чмк, Сх</i> лист (<i>рас-</i>
right	39	<i>тения</i>). <i>Ср.</i> <b>абдан, абданда, аб-</b>
right	40	<b>дандра, абданна, абдарна, аб-</b>
right	41	<b>донно, авдан, авданда, авдар-</b>
right	42	<b>на, аудан.</b>
right	43	[<i>Нег</i> <b>абдана,</b> <i>Эвен</i> <b>эбдэнрэ,</b>
right	44	<i>Ороч</i> <b>абдаса,</b> <i>Орок</i> <b>хамдатта,</b>
right	45	<i>Удэ</i> <b>абдехэ,</b> <i>Ульч, Нан</i> <b>хабдата,</b>
right	46	<i>Ман</i> <b>абдаха, афаха</b>].
right	47	<b>авданнакāн</b> лепесто́к, листо́к
right	48	<b>авдарна</b> <i>Тнг</i> лист; <i>см.</i> <b>авдан-</b>
right	49	<b>на.</b>
right	50	<b>авду</b> <i>П-Т, Н, Е, Бнт, Брг,</i>
right	51	<i>Тнг, З, Учр, Урм, Чмк, С-Б, Сх</i>
right	52	1) скот; ста́до дома́шних оле́ней;
